,Code,Date,Members,Tourists,DDV,Total_NoDeka,Members_Abs,Tourist_Abs,DDV_Abs,Deka_Abs,Total
0,SpD,2020-04-20,"0,41","0,31","0,28",2393,981,742,670,2254,4648
1,SpD,2020-04-21,"0,41","0,31","0,28",2307,946,715,646,2179,4485
2,SpD,2020-04-22,"0,41","0,31","0,28",2792,1145,865,782,2665,5457
3,SpD,2020-04-23,"0,41","0,31","0,28",2472,1014,766,692,2344,4816
4,SpD,2020-04-24,"0,41","0,31","0,28",2791,1144,865,781,2681,5472
5,MeW,2020-04-25,"0,41","0,23","0,36",4952,2030,1139,1783,4834,9787
6,MeW,2020-04-26,"0,41","0,23","0,36",5521,2263,1270,1987,5429,10950
7,MeD,2020-04-27,"0,37","0,2","0,43",2304,853,461,991,1708,4013
8,MeD,2020-04-28,"0,37","0,2","0,43",3213,1189,643,1381,3222,6434
9,MeD,2020-04-29,"0,37","0,2","0,43",3666,1356,733,1576,3737,7403
10,MeD,2020-04-30,"0,37","0,2","0,43",3312,1225,662,1424,3432,6744
11,MeD,2020-05-01,"0,37","0,2","0,43",3592,1329,718,1545,3768,7360
12,MeW,2020-05-02,"0,41","0,23","0,36",4918,2016,1131,1771,5146,10064
13,MeW,2020-05-03,"0,41","0,23","0,36",5445,2233,1252,1960,5688,11133
14,SpD,2020-05-04,"0,41","0,31","0,28",2415,990,749,676,2689,5104
15,SpD,2020-05-05,"0,41","0,31","0,28",2218,909,687,621,2227,4444
16,SpD,2020-05-06,"0,41","0,31","0,28",2676,1097,829,749,2915,5591
17,SpD,2020-05-07,"0,41","0,31","0,28",2285,937,708,640,2458,4744
18,SpD,2020-05-08,"0,41","0,31","0,28",2534,1039,786,709,2633,5167
19,SpW,2020-05-09,"0,47","0,22","0,31",3832,1801,843,1188,3853,7686
20,SpW,2020-05-10,"0,47","0,22","0,31",4112,1933,905,1275,4051,8163
21,SpD,2020-05-11,"0,41","0,31","0,28",2085,855,646,584,1886,3970
22,SpD,2020-05-12,"0,41","0,31","0,28",1919,787,595,537,1651,3570
23,SpD,2020-05-13,"0,41","0,31","0,28",2329,955,722,652,1992,4321
24,SpD,2020-05-14,"0,41","0,31","0,28",1940,795,601,543,1543,3483
25,SpD,2020-05-15,"0,41","0,31","0,28",2196,900,681,615,1773,3969
26,SpW,2020-05-16,"0,47","0,22","0,31",3507,1648,772,1087,3092,6599
27,SpW,2020-05-17,"0,47","0,22","0,31",4030,1894,887,1249,3625,7655
